xab yab xbc ybc xca yca
3.00 5.20 0.00 0.00 6.00 0.00
2.94 5.09 0.12 0.00 5.94 0.10
2.88 4.99 0.24 0.00 5.88 0.21
2.82 4.88 0.36 0.00 5.82 0.31
2.76 4.78 0.48 0.00 5.76 0.42
2.70 4.68 0.60 0.00 5.70 0.52
2.64 4.57 0.72 0.00 5.64 0.62
2.58 4.47 0.84 0.00 5.58 0.73
2.52 4.36 0.96 0.00 5.52 0.83
2.46 4.26 1.08 0.00 5.46 0.94
2.40 4.16 1.20 0.00 5.40 1.04
2.34 4.05 1.32 0.00 5.34 1.14
2.28 3.95 1.44 0.00 5.28 1.25
2.22 3.85 1.56 0.00 5.22 1.35
2.16 3.74 1.68 0.00 5.16 1.45
2.10 3.64 1.80 0.00 5.10 1.56
2.04 3.53 1.92 0.00 5.04 1.66
1.98 3.43 2.04 0.00 4.98 1.77
1.92 3.33 2.16 0.00 4.92 1.87
1.86 3.22 2.28 0.00 4.86 1.97
1.80 3.12 2.40 0.00 4.80 2.08
1.74 3.01 2.52 0.00 4.74 2.18
1.68 2.91 2.64 0.00 4.68 2.29
1.62 2.81 2.76 0.00 4.62 2.39
1.56 2.70 2.88 0.00 4.56 2.49
1.50 2.60 3.00 0.00 4.50 2.60
1.44 2.49 3.12 0.00 4.44 2.70
1.38 2.39 3.24 0.00 4.38 2.81
1.32 2.29 3.36 0.00 4.32 2.91
1.26 2.18 3.48 0.00 4.26 3.01
1.20 2.08 3.60 0.00 4.20 3.12
1.14 1.97 3.72 0.00 4.14 3.22
1.08 1.87 3.84 0.00 4.08 3.33
1.02 1.77 3.96 0.00 4.02 3.43
0.96 1.66 4.08 0.00 3.96 3.53
0.90 1.56 4.20 0.00 3.90 3.64
0.84 1.45 4.32 0.00 3.84 3.74
0.78 1.35 4.44 0.00 3.78 3.85
0.72 1.25 4.56 0.00 3.72 3.95
0.66 1.14 4.68 0.00 3.66 4.05
0.60 1.04 4.80 0.00 3.60 4.16
0.54 0.94 4.92 0.00 3.54 4.26
0.48 0.83 5.04 0.00 3.48 4.36
0.42 0.73 5.16 0.00 3.42 4.47
0.36 0.62 5.28 0.00 3.36 4.57
0.30 0.52 5.40 0.00 3.30 4.68
0.24 0.42 5.52 0.00 3.24 4.78
0.18 0.31 5.64 0.00 3.18 4.88
0.12 0.21 5.76 0.00 3.12 4.99
0.06 0.10 5.88 0.00 3.06 5.09
0.00 0.00 6.00 0.00 3.00 5.20
0.00 0.00 6.00 0.00 3.00 5.20
