x y xc yc xcar ycar
0.00 0.00 2.00 0.00 2.00 0.00
0.02 0.03 2.00 0.12 2.00 0.04
0.04 0.07 1.98 0.25 2.00 0.08
0.06 0.10 1.97 0.37 2.00 0.12
0.08 0.14 1.94 0.49 1.99 0.16
0.10 0.17 1.91 0.61 1.99 0.20
0.12 0.21 1.86 0.72 1.98 0.25
0.14 0.24 1.82 0.84 1.98 0.29
0.16 0.28 1.76 0.95 1.97 0.33
0.18 0.31 1.70 1.05 1.97 0.37
0.20 0.35 1.63 1.16 1.96 0.41
0.22 0.38 1.56 1.25 1.95 0.45
0.24 0.42 1.48 1.35 1.94 0.49
0.26 0.45 1.39 1.44 1.93 0.53
0.28 0.48 1.30 1.52 1.92 0.57
0.30 0.52 1.21 1.60 1.91 0.61
0.32 0.55 1.10 1.67 1.89 0.65
0.34 0.59 1.00 1.73 1.88 0.68
0.36 0.62 0.89 1.79 1.86 0.72
0.38 0.66 0.78 1.84 1.85 0.76
0.40 0.69 0.66 1.89 1.83 0.80
0.42 0.73 0.55 1.92 1.82 0.84
0.44 0.76 0.43 1.95 1.80 0.87
0.46 0.80 0.31 1.98 1.78 0.91
0.48 0.83 0.18 1.99 1.76 0.95
0.50 0.87 0.06 2.00 1.74 0.98
0.52 0.90 -0.06 2.00 1.72 1.02
0.54 0.94 -0.18 1.99 1.70 1.05
0.56 0.97 -0.31 1.98 1.68 1.09
0.58 1.00 -0.43 1.95 1.66 1.12
0.60 1.04 -0.55 1.92 1.63 1.16
0.62 1.07 -0.66 1.89 1.61 1.19
0.64 1.11 -0.78 1.84 1.58 1.22
0.66 1.14 -0.89 1.79 1.56 1.25
0.68 1.18 -1.00 1.73 1.53 1.29
0.70 1.21 -1.10 1.67 1.51 1.32
0.72 1.25 -1.21 1.60 1.48 1.35
0.74 1.28 -1.30 1.52 1.45 1.38
0.76 1.32 -1.39 1.44 1.42 1.41
0.78 1.35 -1.48 1.35 1.39 1.44
0.80 1.39 -1.56 1.25 1.36 1.46
0.82 1.42 -1.63 1.16 1.33 1.49
0.84 1.45 -1.70 1.05 1.30 1.52
0.86 1.49 -1.76 0.95 1.27 1.55
0.88 1.52 -1.82 0.84 1.24 1.57
0.90 1.56 -1.86 0.72 1.21 1.60
0.92 1.59 -1.91 0.61 1.17 1.62
0.94 1.63 -1.94 0.49 1.14 1.64
0.96 1.66 -1.97 0.37 1.10 1.67
0.98 1.70 -1.98 0.25 1.07 1.69
1.00 1.73 -2.00 0.12 1.04 1.71
1.00 1.73 -2.00 0.00 1.00 1.73
