xab yab zab xbc ybc zbc xca yca zca
2.00 -3.00 4.00 -1.00 2.00 1.00 0.00 0.33 2.00
1.94 -2.90 3.94 -0.98 1.97 1.02 0.04 0.27 2.04
1.88 -2.80 3.88 -0.96 1.93 1.04 0.08 0.20 2.08
1.82 -2.70 3.82 -0.94 1.90 1.06 0.12 0.13 2.12
1.76 -2.60 3.76 -0.92 1.87 1.08 0.16 0.07 2.16
1.70 -2.50 3.70 -0.90 1.83 1.10 0.20 0.00 2.20
1.64 -2.40 3.64 -0.88 1.80 1.12 0.24 -0.07 2.24
1.58 -2.30 3.58 -0.86 1.77 1.14 0.28 -0.13 2.28
1.52 -2.20 3.52 -0.84 1.73 1.16 0.32 -0.20 2.32
1.46 -2.10 3.46 -0.82 1.70 1.18 0.36 -0.27 2.36
1.40 -2.00 3.40 -0.80 1.67 1.20 0.40 -0.33 2.40
1.34 -1.90 3.34 -0.78 1.63 1.22 0.44 -0.40 2.44
1.28 -1.80 3.28 -0.76 1.60 1.24 0.48 -0.47 2.48
1.22 -1.70 3.22 -0.74 1.57 1.26 0.52 -0.53 2.52
1.16 -1.60 3.16 -0.72 1.53 1.28 0.56 -0.60 2.56
1.10 -1.50 3.10 -0.70 1.50 1.30 0.60 -0.67 2.60
1.04 -1.40 3.04 -0.68 1.47 1.32 0.64 -0.73 2.64
0.98 -1.30 2.98 -0.66 1.43 1.34 0.68 -0.80 2.68
0.92 -1.20 2.92 -0.64 1.40 1.36 0.72 -0.87 2.72
0.86 -1.10 2.86 -0.62 1.37 1.38 0.76 -0.93 2.76
0.80 -1.00 2.80 -0.60 1.33 1.40 0.80 -1.00 2.80
0.74 -0.90 2.74 -0.58 1.30 1.42 0.84 -1.07 2.84
0.68 -0.80 2.68 -0.56 1.27 1.44 0.88 -1.13 2.88
0.62 -0.70 2.62 -0.54 1.23 1.46 0.92 -1.20 2.92
0.56 -0.60 2.56 -0.52 1.20 1.48 0.96 -1.27 2.96
0.50 -0.50 2.50 -0.50 1.17 1.50 1.00 -1.33 3.00
0.44 -0.40 2.44 -0.48 1.13 1.52 1.04 -1.40 3.04
0.38 -0.30 2.38 -0.46 1.10 1.54 1.08 -1.47 3.08
0.32 -0.20 2.32 -0.44 1.07 1.56 1.12 -1.53 3.12
0.26 -0.10 2.26 -0.42 1.03 1.58 1.16 -1.60 3.16
0.20 0.00 2.20 -0.40 1.00 1.60 1.20 -1.67 3.20
0.14 0.10 2.14 -0.38 0.97 1.62 1.24 -1.73 3.24
0.08 0.20 2.08 -0.36 0.93 1.64 1.28 -1.80 3.28
0.02 0.30 2.02 -0.34 0.90 1.66 1.32 -1.87 3.32
-0.04 0.40 1.96 -0.32 0.87 1.68 1.36 -1.93 3.36
-0.10 0.50 1.90 -0.30 0.83 1.70 1.40 -2.00 3.40
-0.16 0.60 1.84 -0.28 0.80 1.72 1.44 -2.07 3.44
-0.22 0.70 1.78 -0.26 0.77 1.74 1.48 -2.13 3.48
-0.28 0.80 1.72 -0.24 0.73 1.76 1.52 -2.20 3.52
-0.34 0.90 1.66 -0.22 0.70 1.78 1.56 -2.27 3.56
-0.40 1.00 1.60 -0.20 0.67 1.80 1.60 -2.33 3.60
-0.46 1.10 1.54 -0.18 0.63 1.82 1.64 -2.40 3.64
-0.52 1.20 1.48 -0.16 0.60 1.84 1.68 -2.47 3.68
-0.58 1.30 1.42 -0.14 0.57 1.86 1.72 -2.53 3.72
-0.64 1.40 1.36 -0.12 0.53 1.88 1.76 -2.60 3.76
-0.70 1.50 1.30 -0.10 0.50 1.90 1.80 -2.67 3.80
-0.76 1.60 1.24 -0.08 0.47 1.92 1.84 -2.73 3.84
-0.82 1.70 1.18 -0.06 0.43 1.94 1.88 -2.80 3.88
-0.88 1.80 1.12 -0.04 0.40 1.96 1.92 -2.87 3.92
-0.94 1.90 1.06 -0.02 0.37 1.98 1.96 -2.93 3.96
-1.00 2.00 1.00 0.00 0.33 2.00 2.00 -3.00 4.00
-1.00 2.00 1.00 0.00 0.33 2.00 2.00 -3.00 4.00
