xab yab xbc ybc xca yca
2.20 2.20 0.00 0.00 6.00 0.00
2.15 2.15 0.12 0.00 5.92 0.04
2.11 2.11 0.24 0.00 5.85 0.09
2.06 2.06 0.36 0.00 5.77 0.13
2.02 2.02 0.48 0.00 5.70 0.18
1.98 1.98 0.60 0.00 5.62 0.22
1.93 1.93 0.72 0.00 5.54 0.26
1.89 1.89 0.84 0.00 5.47 0.31
1.84 1.84 0.96 0.00 5.39 0.35
1.80 1.80 1.08 0.00 5.32 0.40
1.76 1.76 1.20 0.00 5.24 0.44
1.71 1.71 1.32 0.00 5.16 0.48
1.67 1.67 1.44 0.00 5.09 0.53
1.63 1.63 1.56 0.00 5.01 0.57
1.58 1.58 1.68 0.00 4.93 0.61
1.54 1.54 1.80 0.00 4.86 0.66
1.49 1.49 1.92 0.00 4.78 0.70
1.45 1.45 2.04 0.00 4.71 0.75
1.41 1.41 2.16 0.00 4.63 0.79
1.36 1.36 2.28 0.00 4.55 0.83
1.32 1.32 2.40 0.00 4.48 0.88
1.27 1.27 2.52 0.00 4.40 0.92
1.23 1.23 2.64 0.00 4.33 0.97
1.19 1.19 2.76 0.00 4.25 1.01
1.14 1.14 2.88 0.00 4.17 1.05
1.10 1.10 3.00 0.00 4.10 1.10
1.05 1.05 3.12 0.00 4.02 1.14
1.01 1.01 3.24 0.00 3.95 1.19
0.97 0.97 3.36 0.00 3.87 1.23
0.92 0.92 3.48 0.00 3.79 1.27
0.88 0.88 3.60 0.00 3.72 1.32
0.83 0.83 3.72 0.00 3.64 1.36
0.79 0.79 3.84 0.00 3.57 1.41
0.75 0.75 3.96 0.00 3.49 1.45
0.70 0.70 4.08 0.00 3.41 1.49
0.66 0.66 4.20 0.00 3.34 1.54
0.61 0.61 4.32 0.00 3.26 1.58
0.57 0.57 4.44 0.00 3.19 1.63
0.53 0.53 4.56 0.00 3.11 1.67
0.48 0.48 4.68 0.00 3.03 1.71
0.44 0.44 4.80 0.00 2.96 1.76
0.40 0.40 4.92 0.00 2.88 1.80
0.35 0.35 5.04 0.00 2.80 1.84
0.31 0.31 5.16 0.00 2.73 1.89
0.26 0.26 5.28 0.00 2.65 1.93
0.22 0.22 5.40 0.00 2.58 1.98
0.18 0.18 5.52 0.00 2.50 2.02
0.13 0.13 5.64 0.00 2.42 2.06
0.09 0.09 5.76 0.00 2.35 2.11
0.04 0.04 5.88 0.00 2.27 2.15
0.00 0.00 6.00 0.00 2.20 2.20
0.00 0.00 6.00 0.00 2.20 2.20
